second,Volt,Volt
-1.987500E-03,+46.201005E-03,+804.020E-06
-1.985000E-03,+46.201005E-03,+1.608040E-03
-1.982500E-03,+66.301507E-03,+0.0E+00
-1.980000E-03,+86.402009E-03,+804.020E-06
-1.977500E-03,+66.301507E-03,+804.020E-06
-1.975000E-03,+106.502512E-03,+804.020E-06
-1.972500E-03,+46.201005E-03,+1.608040E-03
-1.970000E-03,+86.402009E-03,+0.0E+00
-1.967500E-03,+106.502512E-03,+1.608040E-03
-1.965000E-03,+126.603014E-03,+1.608040E-03
-1.962500E-03,+126.603014E-03,+1.608040E-03
-1.960000E-03,+126.603014E-03,+1.608040E-03
-1.957500E-03,+126.603014E-03,+2.412060E-03
-1.955000E-03,+146.703516E-03,+2.412060E-03
-1.952500E-03,+166.804018E-03,+4.020100E-03
-1.950000E-03,+146.703516E-03,+4.020100E-03
-1.947500E-03,+166.804018E-03,+5.628141E-03
-1.945000E-03,+186.904521E-03,+5.628141E-03
-1.942500E-03,+186.904521E-03,+6.432161E-03
-1.940000E-03,+186.904521E-03,+8.844221E-03
-1.937500E-03,+166.804018E-03,+11.256281E-03
-1.935000E-03,+186.904521E-03,+14.472362E-03
-1.932500E-03,+207.005023E-03,+16.080402E-03
-1.930000E-03,+207.005023E-03,+17.688442E-03
-1.927500E-03,+227.105525E-03,+20.904522E-03
-1.925000E-03,+227.105525E-03,+21.708542E-03
-1.922500E-03,+247.206028E-03,+23.316583E-03
-1.920000E-03,+267.306530E-03,+25.728643E-03
-1.917500E-03,+247.206028E-03,+27.336683E-03
-1.915000E-03,+247.206028E-03,+28.140703E-03
-1.912500E-03,+287.407032E-03,+29.748743E-03
-1.910000E-03,+267.306530E-03,+30.552763E-03
-1.907500E-03,+287.407032E-03,+31.356784E-03
-1.905000E-03,+287.407032E-03,+31.356784E-03
-1.902500E-03,+287.407032E-03,+29.748743E-03
-1.900000E-03,+327.608037E-03,+29.748743E-03
-1.897500E-03,+307.507535E-03,+26.532663E-03
-1.895000E-03,+327.608037E-03,+18.492462E-03
-1.892500E-03,+327.608037E-03,+12.864321E-03
