second,Volt,Volt
-8.2740E-03,+418.0904E-03,-80.4E-06
-8.2640E-03,+426.1306E-03,+80.4E-06
-8.2540E-03,+418.0904E-03,-241.2E-06
-8.2440E-03,+426.1306E-03,-160.8E-06
-8.2340E-03,+434.1708E-03,-160.8E-06
-8.2240E-03,+434.1708E-03,-0.0E+00
-8.2140E-03,+426.1306E-03,-80.4E-06
-8.2040E-03,+426.1306E-03,-160.8E-06
-8.1940E-03,+434.1708E-03,-241.2E-06
-8.1840E-03,+434.1708E-03,-241.2E-06
-8.1740E-03,+442.2111E-03,+160.8E-06
-8.1640E-03,+434.1708E-03,-80.4E-06
-8.1540E-03,+434.1708E-03,-241.2E-06
-8.1440E-03,+434.1708E-03,-241.2E-06
-8.1340E-03,+442.2111E-03,-80.4E-06
-8.1240E-03,+442.2111E-03,-160.8E-06
-8.1140E-03,+442.2111E-03,-80.4E-06
-8.1040E-03,+450.2513E-03,-160.8E-06
-8.0940E-03,+450.2513E-03,-241.2E-06
-8.0840E-03,+442.2111E-03,+0.0E+00
-8.0740E-03,+450.2513E-03,-241.2E-06
-8.0640E-03,+442.2111E-03,+80.4E-06
-8.0540E-03,+450.2513E-03,-482.4E-06
-8.0440E-03,+450.2513E-03,-80.4E-06
-8.0340E-03,+450.2513E-03,-402.0E-06
-8.0240E-03,+450.2513E-03,-160.8E-06
-8.0140E-03,+450.2513E-03,-80.4E-06
-8.0040E-03,+450.2513E-03,-562.8E-06
-7.9940E-03,+450.2513E-03,-482.4E-06
-7.9840E-03,+458.2915E-03,-160.8E-06
-7.9740E-03,+458.2915E-03,-160.8E-06
-7.9640E-03,+466.3317E-03,-241.2E-06
-7.9540E-03,+466.3317E-03,-402.0E-06
-7.9440E-03,+458.2915E-03,-0.0E+00
-7.9340E-03,+450.2513E-03,-0.0E+00
-7.9240E-03,+466.3317E-03,-80.4E-06
-7.9140E-03,+458.2915E-03,-402.0E-06
-7.9040E-03,+458.2915E-03,-0.0E+00
-7.8940E-03,+466.3317E-03,+241.2E-06
-7.8840E-03,+466.3317E-03,+321.6E-06
-7.8740E-03,+466.3317E-03,-160.8E-06
-7.8640E-03,+466.3317E-03,+0.0E+00
-7.8540E-03,+466.3317E-03,-80.4E-06
-7.8440E-03,+474.3719E-03,-80.4E-06
-7.8340E-03,+466.3317E-03,-723.6E-06
-7.8240E-03,+466.3317E-03,-321.6E-06
-7.8140E-03,+466.3317E-03,-160.8E-06
-7.8040E-03,+474.3719E-03,+80.4E-06
-7.7940E-03,+474.3719E-03,-241.2E-06
-7.7840E-03,+474.3719E-03,-160.8E-06
-7.7740E-03,+474.3719E-03,-321.6E-06
-7.7640E-03,+474.3719E-03,-80.4E-06
-7.7540E-03,+474.3719E-03,-160.8E-06
-7.7440E-03,+474.3719E-03,-0.0E+00
-7.7340E-03,+466.3317E-03,-80.4E-06
-7.7240E-03,+482.4121E-03,+241.2E-06
-7.7140E-03,+474.3719E-03,-321.6E-06
-7.7040E-03,+474.3719E-03,-80.4E-06
-7.6940E-03,+474.3719E-03,-241.2E-06
-7.6840E-03,+482.4121E-03,-160.8E-06
-7.6740E-03,+474.3719E-03,-80.4E-06
-7.6640E-03,+474.3719E-03,-402.0E-06
-7.6540E-03,+474.3719E-03,-241.2E-06
-7.6440E-03,+474.3719E-03,-321.6E-06
-7.6340E-03,+474.3719E-03,-160.8E-06
-7.6240E-03,+474.3719E-03,-321.6E-06
-7.6140E-03,+474.3719E-03,-321.6E-06
-7.6040E-03,+474.3719E-03,-241.2E-06
-7.5940E-03,+482.4121E-03,-160.8E-06
-7.5840E-03,+482.4121E-03,-482.4E-06
-7.5740E-03,+482.4121E-03,-321.6E-06
-7.5640E-03,+474.3719E-03,-160.8E-06
-7.5540E-03,+482.4121E-03,-160.8E-06
-7.5440E-03,+474.3719E-03,-402.0E-06
-7.5340E-03,+466.3317E-03,-80.4E-06
-7.5240E-03,+482.4121E-03,-321.6E-06
-7.5140E-03,+482.4121E-03,-160.8E-06
-7.5040E-03,+474.3719E-03,-160.8E-06
-7.4940E-03,+474.3719E-03,-321.6E-06
-7.4840E-03,+474.3719E-03,-241.2E-06
-7.4740E-03,+482.4121E-03,-0.0E+00
-7.4640E-03,+482.4121E-03,-321.6E-06
-7.4540E-03,+474.3719E-03,-402.0E-06
-7.4440E-03,+482.4121E-03,-0.0E+00
-7.4340E-03,+482.4121E-03,-160.8E-06
-7.4240E-03,+482.4121E-03,-0.0E+00
-7.4140E-03,+474.3719E-03,-0.0E+00
-7.4040E-03,+482.4121E-03,-80.4E-06
-7.3940E-03,+482.4121E-03,-241.2E-06
-7.3840E-03,+482.4121E-03,+80.4E-06
-7.3740E-03,+482.4121E-03,-321.6E-06
-7.3640E-03,+482.4121E-03,-80.4E-06
-7.3540E-03,+474.3719E-03,-241.2E-06
-7.3440E-03,+474.3719E-03,-160.8E-06
-7.3340E-03,+482.4121E-03,-0.0E+00
-7.3240E-03,+482.4121E-03,-80.4E-06
-7.3140E-03,+474.3719E-03,-0.0E+00
-7.3040E-03,+482.4121E-03,-241.2E-06
-7.2940E-03,+474.3719E-03,-241.2E-06
-7.2840E-03,+474.3719E-03,-482.4E-06
