second,Volt
+57.90000E-06,+5.62814064E-03
+57.95000E-06,+5.52763813E-03
+58.00000E-06,+4.82412055E-03
+58.05000E-06,+4.02010046E-03
+58.10000E-06,+3.21608037E-03
+58.15000E-06,+3.21608037E-03
+58.20000E-06,+3.21608037E-03
+58.25000E-06,+2.41206028E-03
+58.30000E-06,+2.41206028E-03
+58.35000E-06,+1.70854270E-03
+58.40000E-06,+2.41206028E-03
+58.45000E-06,+1.60804018E-03
+58.50000E-06,+1.60804018E-03
+58.55000E-06,+2.41206028E-03
+58.60000E-06,+1.60804018E-03
+58.65000E-06,+1.60804018E-03
+58.70000E-06,+1.60804018E-03
+58.75000E-06,+1.60804018E-03
+58.80000E-06,+1.60804018E-03
+58.85000E-06,+804.02009E-06
+58.90000E-06,+804.02009E-06
+58.95000E-06,+804.02009E-06
+59.00000E-06,+100.50251E-06
+59.05000E-06,+1.60804018E-03
+59.10000E-06,+804.02009E-06
+59.15000E-06,+0.0E+00
+59.20000E-06,+0.0E+00
+59.25000E-06,+0.0E+00
+59.30000E-06,-703.51758E-06
+59.35000E-06,-804.02009E-06
+59.40000E-06,-804.02009E-06
+59.45000E-06,-804.02009E-06
+59.50000E-06,-804.02009E-06
+59.55000E-06,-804.02009E-06
+59.60000E-06,-804.02009E-06
+59.65000E-06,-804.02009E-06
+59.70000E-06,-1.60804018E-03
+59.75000E-06,-804.02009E-06
+59.80000E-06,-804.02009E-06
+59.85000E-06,-804.02009E-06
+59.90000E-06,-804.02009E-06
+59.95000E-06,-804.02009E-06
+60.00000E-06,-804.02009E-06
+60.05000E-06,-804.02009E-06
+60.10000E-06,-804.02009E-06
+60.15000E-06,-1.60804018E-03
+60.20000E-06,-904.52260E-06
+60.25000E-06,-804.02009E-06
+60.30000E-06,-804.02009E-06
+60.35000E-06,-804.02009E-06
+60.40000E-06,-804.02009E-06
+60.45000E-06,-904.52260E-06
+60.50000E-06,-804.02009E-06
+60.55000E-06,+0.0E+00
+60.60000E-06,-1.60804018E-03
+60.65000E-06,-804.02009E-06
+60.70000E-06,-804.02009E-06
