second,Volt
+5.30000E-06,+10.05025115E-03
+5.35000E-06,+8.04020092E-03
+5.40000E-06,+8.04020092E-03
+5.45000E-06,+8.04020092E-03
+5.50000E-06,+8.04020092E-03
+5.55000E-06,+6.03015069E-03
+5.60000E-06,+7.28643208E-03
+5.65000E-06,+6.03015069E-03
+5.70000E-06,+6.03015069E-03
+5.75000E-06,+6.03015069E-03
+5.80000E-06,+6.03015069E-03
+5.85000E-06,+6.03015069E-03
+5.90000E-06,+7.28643208E-03
+5.95000E-06,+6.03015069E-03
+6.00000E-06,+6.03015069E-03
+6.05000E-06,+8.04020092E-03
+6.10000E-06,+8.04020092E-03
+6.15000E-06,+8.04020092E-03
+6.20000E-06,+8.04020092E-03
+6.25000E-06,+8.04020092E-03
+6.30000E-06,+7.28643208E-03
+6.35000E-06,+6.03015069E-03
+6.40000E-06,+6.03015069E-03
+6.45000E-06,+6.03015069E-03
+6.50000E-06,+8.04020092E-03
+6.55000E-06,+7.28643208E-03
+6.60000E-06,+6.03015069E-03
+6.65000E-06,+4.02010046E-03
+6.70000E-06,+6.03015069E-03
+6.75000E-06,+8.04020092E-03
+6.80000E-06,+4.02010046E-03
+6.85000E-06,+6.03015069E-03
+6.90000E-06,+6.03015069E-03
+6.95000E-06,+6.03015069E-03
+7.00000E-06,+6.78391953E-03
+7.05000E-06,+6.03015069E-03
+7.10000E-06,+6.03015069E-03
+7.15000E-06,+8.04020092E-03
+7.20000E-06,+6.03015069E-03
+7.25000E-06,+8.04020092E-03
+7.30000E-06,+8.04020092E-03
+7.35000E-06,+8.04020092E-03
+7.40000E-06,+6.03015069E-03
+7.45000E-06,+8.04020092E-03
+7.50000E-06,+8.04020092E-03
+7.55000E-06,+8.04020092E-03
+7.60000E-06,+8.04020092E-03
+7.65000E-06,+6.03015069E-03
+7.70000E-06,+8.04020092E-03
+7.75000E-06,+6.03015069E-03
+7.80000E-06,+6.78391953E-03
+7.85000E-06,+6.03015069E-03
+7.90000E-06,+6.03015069E-03
+7.95000E-06,+6.03015069E-03
+8.00000E-06,+7.28643208E-03
+8.05000E-06,+6.03015069E-03
+8.10000E-06,+6.03015069E-03
+8.15000E-06,+6.03015069E-03
+8.20000E-06,+8.04020092E-03
+8.25000E-06,+6.03015069E-03
+8.30000E-06,+6.03015069E-03
+8.35000E-06,+6.03015069E-03
